data,hora,municipio,causa_acidente,tipo_acidente,latitude,longitude
2020-01-12,06:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.81310756,-43.33012104
2020-03-08,01:10:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.77496393,-43.40081465
2020-03-08,13:20:00,DUQUE DE CAXIAS,Falta de Atenção à Condução,Colisão traseira,-22.65237271,-43.23918118
2020-03-12,14:00:00,QUEIMADOS,Falta de Atenção à Condução,Colisão traseira,-22.73772988,-43.55329692
2020-03-28,23:00:00,BARRA MANSA,Falta de Atenção à Condução,Colisão traseira,-22.57510092,-44.11542461
2020-04-05,22:30:00,MESQUITA,Falta de Atenção à Condução,Colisão traseira,-22.79810324,-43.35726614
2020-05-01,09:30:00,SAPUCAIA,Falta de Atenção à Condução,Colisão traseira,-22.05286864,-42.79037476
2020-05-15,18:45:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.7839538,-43.38195488
2020-05-20,16:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.78055198,-43.39208599
2020-05-31,09:15:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.81560263,-43.30051808
2020-07-18,05:15:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.78923555,-43.37275272
2020-07-18,14:25:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.78923555,-43.37275272
2020-07-22,18:30:00,SEROPEDICA,Falta de Atenção à Condução,Colisão traseira,-22.72235708,-43.67443085
2020-08-08,20:20:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.7839538,-43.38195488
2020-08-18,11:00:00,RESENDE,Falta de Atenção à Condução,Colisão traseira,-22.45852838,-44.42672997
2020-08-30,23:50:00,RESENDE,Falta de Atenção à Condução,Colisão traseira,-22.4529399,-44.36236901
2020-09-08,14:30:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.81113183,-43.3336729
2020-09-10,11:30:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.81803977,-43.30787252
2020-09-12,22:50:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.761312,-43.423492
2020-09-27,20:30:00,ITATIAIA,Falta de Atenção à Condução,Colisão traseira,-22.50082905,-44.63502202
2020-09-28,23:30:00,SEROPEDICA,Falta de Atenção à Condução,Colisão traseira,-22.70521322,-43.74066509
2020-10-02,19:00:00,BELFORD ROXO,Falta de Atenção à Condução,Colisão traseira,-22.79423806,-43.36403759
2020-10-14,19:15:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.816206,-43.324463
2020-10-27,19:20:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.80093855,-43.35184921
2020-11-07,14:20:00,SAO JOAO DE MERITI,Falta de Atenção à Condução,Colisão traseira,-22.79810324,-43.35726614
2020-11-14,04:50:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.73883756,-43.47245197
2020-11-28,09:20:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.74151051,-43.45351823
2020-11-29,10:30:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.81803977,-43.30787252
2020-11-29,12:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.7567755,-43.43107234
2020-12-14,16:30:00,TERESOPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.36917806,-42.94876879
2020-12-31,06:45:00,TERESOPOLIS,Falta de Atenção à Condução,Colisão traseira,-22.28530513,-42.9306046
2018-01-29,18:50:00,RIO DE JANEIRO,Falta de Atenção à Condução,Colisão traseira,-22.81727018,-43.306535
2018-01-31,17:30:00,NOVA IGUACU,Falta de Atenção à Condução,Colisão traseira,-22.765121,-43.415562
2018-02-11,14:50:00,PINHEIRAL,Falta de Atenção à Condução,Colisão traseira,-22.51326,-44.000935
